DmBraiPF	0
DmBraiYF	0.008104	0
DmFaboPF	0.05757	0.06038	0
DmFaboYF	0.05252	0.05212	0.01941	0
DmGutPF	0.03429	0.03844	0.04554	0.03602	0
DmGutYF	0.03968	0.03977	0.04823	0.03634	0.00357	0
DmLipoPF	0.04573	0.05041	0.02328	0.02768	0.03939	0.04422	0
DmLipoYF	0.04624	0.04647	0.02738	0.01936	0.04076	0.04115	0.009168	0
DmSaglPF	0.0294	0.03339	0.0230129	0.0167	0.02723	0.02993	0.01994	0.01861	0
DmSaglYF	0.03107	0.02849	0.02953	0.01821	0.02451	0.02500	0.02900	0.02525	0.009303	0
DmWidsPF	0.02853	0.03296	0.02543	0.02041	0.02865	0.03217	0.01908	0.01917	0.01098	0.01936	0
DmWidsYF	0.0297	0.02907	0.03035	0.01975	0.02841	0.02913	0.02413	0.02052	0.0152	0.01514	0.005886	0
