DmBraiPF	0
DmBraiYF	0.01404	0
DmFaboPF	0.08422	0.08753	0
DmFaboYF	0.07680	0.07537	0.02662	0
DmGutPF	0.05451	0.06638	0.07626	0.06461	0
DmGutYF	0.06368	0.07073	0.08228	0.06789	0.005385	0
DmLipoPF	0.1383	0.14858	0.049733	0.07382	0.1301	0.1360	0
DmLipoYF	0.1378	0.14168	0.045450	0.06001	0.1269	0.1275	0.01111	0
DmSaglPF	0.04283	0.04833	0.036562	0.02878	0.05057	0.05600	0.07488	0.07314	0
DmSaglYF	0.04632	0.04134	0.04388	0.02903	0.04718	0.05052	0.10907	0.10148	0.01269	0
DmWidsPF	0.03883	0.04507	0.04190	0.03426	0.04987	0.05734	0.08285	0.08275	0.01517	0.02498	0
DmWidsYF	0.04031	0.03997	0.04653	0.03270	0.04728	0.05165	0.09800	0.09269	0.02335	0.01989	0.009523	0
