DmBraiPF	DmBraiYF	DmFaboPF	DmFaboYF	DmGutPF	DmGutYF	DmLipoPF	DmLipoYF	DmSaglPF	DmSaglYF	DmWidsPF	DmWidsYF
PS 36:6	0.99499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PS 38:1	NA	NA	NA	NA	0.78846	0.26919	NA	NA	NA	0.06383	NA	NA
PS 38:2	NA	NA	NA	NA	0.85883	0.02093	NA	NA	NA	NA	NA	NA
PS 38:4	0.37401	0.06624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PS 38:7	0.12175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ST 1:0:0	NA	NA	NA	NA	0.01842	NA	NA	NA	NA	NA	NA	NA
ST 1:1:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.31559	0.58281
ST 1:4:0	NA	0.01969	NA	NA	NA	0.05409	NA	NA	NA	NA	NA	0.03352
ST 2:0:0	0.02008	NA	NA	NA	0.18308	NA	0.15493	NA	NA	NA	NA	NA
Sitosterol	2.86725	0.13243	1.03140	0.06030	6.52536	0.14603	18.32112	0.97461	2.22059	0.06163	15.73750	0.13893
Stigmasterol	0.44562	0.03714	0.25611	NA	1.55753	0.06008	3.01733	0.17764	0.37922	0.02688	2.54785	0.03847
TAG 38:0	0.02449	0.03748	3.01313	1.07915	0.05083	0.04397	0.11891	0.17499	0.64338	0.53498	NA	NA
TAG 38:1	0.00569	0.01450	0.98793	0.52583	0.02200	0.01986	0.05528	0.09342	0.15463	0.23148	NA	NA
TAG 38:2	NA	NA	NA	NA	NA	NA	0.02102	0.03068	0.05940	0.04200	NA	NA
TAG 39:0	NA	NA	1.96127	0.30348	NA	NA	0.04915	0.07183	0.32827	0.15478	NA	NA
TAG 39:1	NA	NA	0.44312	0.15694	NA	NA	0.03402	0.05617	0.08451	0.07982	NA	NA
TAG 40:0	0.08160	0.15727	12.75050	4.01182	0.24585	0.22132	0.34369	0.34413	2.49192	2.06461	0.33086	0.20160
TAG 40:1	0.02437	0.06469	4.09515	1.95050	0.14086	0.16981	0.25281	0.31888	0.70632	0.98395	0.11249	0.10699
TAG 40:2	0.00765	0.01504	1.09013	0.43807	0.06347	0.07373	0.16564	0.14998	0.23246	0.21491	0.04873	0.02769
TAG 40:3	NA	NA	NA	NA	NA	NA	0.03736	0.01954	NA	NA	NA	NA
TAG 41:0	0.02917	0.02902	6.01597	0.82795	0.08623	0.09903	0.10493	0.11944	1.03797	0.44887	0.14088	0.03664
TAG 41:1	0.00886	0.01773	1.75285	0.51330	0.05833	0.11282	0.10083	0.15004	0.27690	0.26362	0.04601	0.02906
TAG 41:2	NA	NA	NA	NA	0.03142	0.04592	0.09381	0.09308	0.11235	0.06371	NA	NA
TAG 42:0	0.12836	0.26443	16.97645	5.19850	0.41262	0.53383	0.39670	0.38084	3.68767	3.14548	0.31138	0.31757
TAG 42:1	0.08322	0.26791	15.53606	6.59297	0.49598	0.77121	0.57438	0.66791	2.16400	3.13261	0.23205	0.48028
TAG 42:2	0.03661	0.07051	4.99470	1.74134	0.31438	0.53523	0.64864	0.63768	1.04811	0.88004	0.11375	0.14241
TAG 42:3	0.01261	0.00968	1.09787	0.16106	0.18353	0.16461	0.55765	0.33026	0.27525	0.08734	0.08502	0.02263
TAG 42:4	NA	NA	NA	NA	0.03507	0.00184	0.10288	NA	NA	NA	NA	NA
TAG 43:0	0.03613	0.03466	6.40817	0.83699	0.08084	0.08524	0.07511	0.08694	1.15442	0.49230	0.16501	0.04108
TAG 43:1	0.02401	0.04187	5.25799	1.13243	0.08875	0.13418	0.09743	0.11590	0.60362	0.58328	0.06770	0.07803
TAG 43:2	0.00832	0.01288	1.25337	0.33362	0.04631	0.07578	0.08807	0.08691	0.26496	0.16922	0.04572	0.02505
TAG 43:3	NA	NA	NA	NA	0.01499	0.01450	0.03823	0.01807	NA	NA	NA	NA
TAG 44:0	0.07909	0.13633	NA	NA	NA	NA	0.09332	0.16259	2.00962	1.55637	0.06285	0.10740
TAG 44:1	0.18463	0.58077	33.21373	12.14450	0.32794	0.47188	0.20796	0.32601	4.01408	5.58381	0.50091	1.23701
TAG 44:2	0.10908	0.25964	15.49463	5.24571	0.30429	0.31380	0.16506	0.23785	2.84633	2.60189	0.31431	0.62466
TAG 44:3	0.04499	0.03163	3.91214	0.70059	0.14828	0.08771	0.11653	0.08921	0.91176	0.36873	0.17221	0.06724
TAG 44:4	NA	NA	0.86424	0.01867	0.06650	0.00120	0.08977	NA	0.21717	0.00481	0.04795	0.00033
TAG 45:0	0.02953	0.02637	2.84273	0.40413	0.06041	0.04614	NA	NA	0.60277	0.26086	0.06089	0.02877
TAG 45:1	0.05307	0.07660	10.31842	1.75554	0.12362	0.12128	0.07767	0.08739	1.13860	0.93938	0.14448	0.15702
TAG 45:2	0.02779	0.03444	4.05184	0.76829	0.07618	0.08097	0.04709	0.05368	0.69344	0.41497	0.06586	0.08028
TAG 45:3	NA	NA	0.79947	0.07890	0.02961	0.01504	NA	NA	0.18701	0.03784	NA	NA
TAG 45:4	NA	NA	NA	NA	0.00920	0.00685	NA	NA	NA	NA	NA	NA
TAG 46:0	NA	NA	NA	NA	0.05070	0.06752	NA	NA	NA	NA	NA	NA
TAG 46:1	0.35549	0.93433	44.91783	14.88132	0.38576	0.61780	0.29822	0.42572	7.28233	7.87860	0.94939	1.97218
TAG 46:2	0.37383	0.78399	40.10745	12.54632	0.66935	0.54608	0.24690	0.33489	7.29016	5.97784	0.98190	1.93196
TAG 46:3	0.23407	0.14874	13.17175	1.99505	0.34072	0.15263	0.11456	0.09439	3.19318	1.16161	0.44340	0.38076
TAG 46:4	0.07591	0.00549	4.31771	0.06251	0.15151	0.00786	0.04559	0.00387	1.22342	0.03242	0.15421	0.01554
TAG 46:5	NA	NA	NA	NA	0.03195	0.00183	NA	NA	0.18278	NA	0.03825	NA
TAG 47:0	0.00775	0.00314	NA	NA	0.04531	0.04438	NA	NA	NA	NA	NA	NA
TAG 47:1	0.10195	0.11719	15.99633	2.37251	0.18613	0.15066	0.11070	0.11271	2.08325	1.24467	0.26532	0.21758
TAG 47:2	0.07864	0.08187	9.80404	1.52652	0.16001	0.11334	0.07439	0.07016	1.62378	0.58953	0.20997	0.18958
TAG 47:3	0.04585	0.01280	2.74546	0.18219	0.05710	0.02751	NA	NA	0.62962	0.10279	0.07582	0.03151
TAG 47:4	NA	NA	1.13855	0.28271	0.02520	0.01197	NA	NA	0.25365	0.04620	NA	NA
TAG 48:1	0.43569	0.98770	42.65941	15.24422	0.58987	0.66438	0.56240	0.68831	9.12483	8.94005	0.95047	2.21038
TAG 48:2	0.72134	1.71494	51.04988	16.24224	0.81796	0.53751	0.42638	0.58086	11.35979	4.70460	1.72971	3.61992
TAG 48:3	0.57320	0.67175	29.89260	5.73765	0.48597	0.28292	0.18131	0.17672	6.47910	3.25564	1.11027	1.51551
TAG 48:4	NA	NA	13.99320	0.18086	0.22165	0.02306	0.07308	0.01407	4.12012	0.11826	NA	NA
TAG 48:5	NA	NA	1.72998	0.04419	0.06153	0.00397	NA	NA	0.91119	NA	NA	NA
TAG 48:6	NA	NA	NA	NA	NA	NA	NA	NA	0.09424	0.05290	NA	NA
TAG 49:1	0.11584	0.12580	15.89055	2.40752	0.12126	0.10285	0.16651	0.19239	2.40364	1.23317	0.28433	0.19482
TAG 49:2	0.10990	0.11332	11.74534	1.73599	0.15387	0.11015	0.11770	0.12856	2.07331	0.77186	0.28468	0.24979
TAG 49:3	0.07276	0.03369	5.11047	0.34559	0.08108	0.03237	0.03833	0.02334	1.15160	0.19185	0.14890	0.08476
TAG 49:4	NA	NA	2.48829	0.07449	0.03424	0.00904	NA	NA	0.58554	0.02099	NA	NA
TAG 49:5	NA	NA	0.88645	0.25093	NA	NA	NA	NA	NA	NA	0.04029	0.00743
TAG 50:0	0.01350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAG 50:1	0.50782	0.96575	12.04024	3.67854	0.21786	0.20390	0.44538	0.55602	3.44461	2.07204	0.76808	1.01568
TAG 50:2	0.75055	1.56617	33.36030	14.67256	0.77102	0.57728	0.52921	0.78406	6.68921	7.15308	1.52831	2.59390
TAG 50:3	1.38042	0.93024	25.94377	4.56694	0.48189	0.29117	0.37845	0.30662	7.30512	2.87634	2.25202	2.54831
TAG 50:4	0.99766	0.14725	19.75633	0.39318	0.47411	0.04035	0.17506	0.06695	6.40650	0.27723	1.43708	0.30080
TAG 50:5	NA	NA	7.44345	0.07942	0.16548	0.00640	0.05425	0.03266	2.22306	0.02620	0.61316	0.03663
TAG 50:6	0.12667	NA	1.45640	0.05220	0.03151	0.00181	NA	NA	0.52000	NA	0.07894	NA
TAG 51:1	0.04399	0.04423	5.99915	1.07050	0.04893	0.04920	0.05428	0.06755	0.96442	0.54268	0.10453	0.05346
TAG 51:2	0.08657	0.08120	6.04856	1.02289	0.09763	0.07031	0.07463	0.08998	1.34843	0.54042	0.15901	0.12946
TAG 51:3	0.10817	0.03564	3.65700	0.24571	0.07227	0.02996	0.03477	0.02534	0.94104	0.12932	0.15422	0.09443
TAG 51:4	NA	NA	NA	NA	0.04627	0.00917	0.01501	0.01533	0.71387	0.01928	0.12834	0.01855
TAG 51:5	NA	NA	0.84583	0.67496	NA	NA	NA	NA	0.13284	0.10523	NA	NA
TAG 51:6	NA	NA	1.95692	0.70697	NA	NA	NA	NA	0.03477	0.04308	NA	NA
TAG 52:0	0.03878	0.03591	NA	NA	0.04318	0.02084	NA	NA	NA	NA	0.05323	0.02402
TAG 52:1	0.11081	0.10396	2.92451	0.51054	NA	0.06574	0.16039	0.21702	0.78906	0.28345	0.10240	0.09041
TAG 52:2	0.85652	1.03332	6.07546	2.84908	1.04056	0.26295	0.52419	0.70848	2.10894	1.77738	1.02497	1.01599
TAG 52:3	1.81883	0.75228	8.69904	1.44399	1.82538	0.14843	0.22269	0.28043	3.43622	1.00143	1.88771	1.59520
TAG 52:4	1.53466	0.16740	11.35181	0.18032	3.15626	0.04327	0.13927	0.11161	5.19811	0.19497	2.14646	0.53695
TAG 52:5	2.15869	0.05143	5.79553	0.10684	0.73742	0.00882	0.05995	0.04109	2.45145	0.04626	1.84474	0.09005
TAG 52:6	1.18122	0.00139	2.20610	0.05272	0.10991	0.00527	0.03685	0.02375	1.04567	0.03003	0.46355	0.00315
TAG 52:7	0.18171	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04351	NA
TAG 53:1	NA	NA	0.99771	0.16306	0.01210	0.01897	NA	NA	0.16258	0.07561	NA	NA
TAG 53:2	0.01741	0.01643	0.86828	0.19009	0.02929	0.02238	NA	NA	0.18369	0.09607	0.04266	0.02354
TAG 53:3	0.03514	0.01381	1.03478	0.07197	0.05425	0.01319	NA	NA	0.29957	0.03442	0.09095	0.03585
TAG 53:4	0.05827	0.00610	NA	NA	0.05841	0.00495	NA	NA	0.28047	0.00141	0.10061	0.00725
TAG 53:5	NA	NA	1.36555	0.68316	0.02740	0.01296	NA	NA	0.14740	0.12987	0.06572	0.03424
TAG 53:6	NA	NA	1.31606	0.73429	NA	NA	NA	NA	0.05369	0.07759	0.01749	0.03307
TAG 53:7	NA	NA	0.42551	0.24044	NA	NA	NA	NA	NA	NA	NA	NA
TAG 54:1	0.02927	0.01948	NA	NA	NA	0.02815	0.01836	0.02157	0.10609	0.04593	0.05895	0.04953
TAG 54:2	0.07293	0.08015	0.45245	0.12940	0.17069	0.04155	0.05250	0.11752	0.22264	0.08084	0.11099	0.07339
TAG 54:3	0.27274	0.18474	0.70448	0.15755	1.37575	0.06697	0.12856	0.18765	0.43866	0.12941	0.27352	0.32107
TAG 54:4	0.57605	0.07986	0.84672	0.02100	3.63792	0.02676	0.06715	0.07743	0.57735	0.04482	0.64090	0.27242
TAG 54:5	NA	NA	1.61041	0.10983	3.53523	0.01846	0.03508	0.03820	0.86430	0.03531	1.16353	0.05797
TAG 54:6	0.89625	0.00522	1.32456	0.08740	5.61806	0.01112	0.01547	0.01847	0.92340	0.01330	1.44401	0.00559
TAG 54:7	0.52044	NA	NA	NA	1.17591	0.00170	NA	NA	0.16427	0.00188	0.39616	0.00469
TAG 54:8	0.21267	NA	NA	NA	0.19416	NA	NA	NA	NA	NA	0.02588	NA
TAG 54:9	0.03393	0.01179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAG 55:5	NA	NA	0.44698	0.14803	NA	NA	NA	NA	0.04047	0.03515	NA	NA
TAG 55:6	NA	NA	0.90180	0.66539	NA	NA	NA	NA	0.05561	0.11471	NA	NA
TAG 55:7	NA	NA	0.59844	0.19918	NA	NA	NA	NA	0.05765	0.04202	NA	NA
TAG 55:8	NA	NA	0.38046	0.02153	NA	NA	NA	NA	NA	NA	NA	NA
TAG 56:1	NA	NA	NA	NA	0.01588	0.02486	NA	NA	NA	NA	0.01820	0.00363
TAG 56:2	NA	NA	NA	NA	0.05600	0.02137	0.00486	0.01841	NA	NA	0.02347	0.02215
TAG 56:3	NA	NA	NA	NA	0.07256	0.00532	0.00356	0.05588	NA	NA	0.03848	0.01584
TAG 56:4	NA	NA	NA	NA	0.12644	0.00193	NA	NA	NA	NA	0.05405	0.00524
TAG 56:5	NA	NA	NA	NA	0.08132	0.00174	NA	NA	NA	NA	NA	NA
TAG 56:6	NA	NA	NA	NA	0.02298	0.00335	NA	NA	NA	NA	NA	NA
TAG 58:1	NA	NA	NA	NA	0.00572	0.02184	NA	NA	NA	NA	NA	NA
TAG 58:2	NA	NA	NA	NA	0.03472	0.02637	NA	NA	NA	NA	NA	NA
TAG 58:3	NA	NA	NA	NA	0.04536	0.00267	NA	NA	NA	NA	NA	NA
TAG 58:4	NA	NA	NA	NA	0.10340	0.00079	NA	NA	NA	NA	NA	NA
TAG 58:5	NA	NA	NA	NA	0.02719	0.00067	NA	NA	NA	NA	NA	NA
TAG 58:6	NA	NA	NA	NA	0.00741	0.00231	NA	NA	NA	NA	NA	NA
Zymosterol	NA	1.07020	NA	0.36059	NA	1.46821	NA	4.77886	NA	0.34212	NA	2.02444
