DmBraiPF	0
DmBraiYF	0.003134	0
DmFaboPF	0.01487	0.01615	0
DmFaboYF	0.01288	0.01159	0.008312	0
DmGutPF	0.01493	0.01700	0.01911	0.0165	0
DmGutYF	0.01822	0.01805	0.02175	0.01769	0.002319	0
DmLipoPF	0.02791	0.03151	0.01169	0.01844	0.02919	0.03205	0
DmLipoYF	0.02795	0.02862	0.01308	0.01473	0.02948	0.03038	0.003703	0
DmSaglPF	0.00755	0.01006	0.008657	0.006322	0.01317	0.01593	0.01668	0.01653	0
DmSaglYF	0.008708	0.006927	0.01116	0.005537	0.01305	0.01403	0.02496	0.02224	0.004146	0
DmWidsPF	0.006366	0.008988	0.01099	0.008724	0.01257	0.0157	0.01886	0.01892	0.003782	0.006475	0
DmWidsYF	0.007267	0.006251	0.01359	0.008264	0.01212	0.0133	0.02378	0.02134	0.007372	0.004994	0.003869	0
