C(C(C=CC=CCCCCCCC)O)(NC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(=O)(OCCN)O	CerPE 36:2:2
C(C(C=CC=CCCCCCCC)O)(NC(=O)C(O)CCCCCCCCCCCCCCCCCCCC)COP(=O)(OCCN)O	CerPE 36:2:3
C(C(C=CCCCCCCCCC)O)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)COP(=O)(OCCN)O	CerPE 38:1:2
C(C(C=CCCCCCCCCC)O)(NC(=O)C(O)CCCCCCCCCCCCCCCCCCCCCC)COP(=O)(OCCN)O	CerPE 38:1:3
C(C(C=CC=CCCCCCCC)O)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)COP(=O)(OCCN)O	CerPE 38:2:2
C(C(C=CC=CCCCCCCC)O)(NC(=O)C(O)CCCCCCCCCCCCCCCCCCCCCC)COP(=O)(OCCN)O	CerPE 38:2:3
C(C(C=CCCCCCCCCCCC)O)(NC(=O)CCCCCCCCCCCCCCCCCCCCCCC)COP(=O)(OCCN)O	CerPE 40:1:2
C(C(C=CCCCCCCCCC)O)(NC(=O)CCCCCCCCCCCCCCCCCCC)COC1OC(C(C(C1O)O)O)CO	HexCer 34:1:2
C(C(C=CC=CCCCCCCC)O)(NC(=O)C(O)CCCCCCCCCCCCCCCCCC)COC1OC(C(C(C1O)O)O)CO	HexCer 34:2:3
C(C(C=CCCCCCCCCC)O)(NC(=O)CCCCCCCCCCCCCCCCCCCCC)COC1OC(C(C(C1O)O)O)CO	HexCer 36:1:2
C(C(C=CC=CCCCCCCC)O)(NC(=O)CCCCCCCCCCCCCCCCCCCCC)COC1OC(C(C(C1O)O)O)CO	HexCer 36:2:2
C(C(C=CC=CCCCCCCC)O)(NC(=O)C(O)CCCCCCCCCCCCCCCCCCCC)COC1OC(C(C(C1O)O)O)CO	HexCer 36:2:3
C(C(C=CC=CCCCCCCC)O)(NC(=O)C(O)CCCCCCCCCCCCCCCCCCCCCC)COC1OC(C(C(C1O)O)O)CO	HexCer 38:2:3
C1(CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)CCC(C)C(C)C	ST 1:0:0
C1(CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C=CC(C)C(C)C	ST 1:1:0
C1(CCC2C3CC=C4C(C)C(O)CCC4(C)C3CCC12C)C(C)CCC(C)C(C)C	ST 2:0:0
